,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
311,50,10.0,0.3,2,0.3,0.5117466802860061
312,50,10.0,0.3,3,0.0,0.5025536261491318
313,50,10.0,0.3,3,0.1,0.501532175689479
314,50,10.0,0.3,3,0.2,0.5005107252298263
315,50,10.0,0.3,3,0.3,0.508682328907048
316,50,10.0,0.3,4,0.0,0.5066394279877426
317,50,10.0,0.3,4,0.1,0.5056179775280899
318,50,10.0,0.3,4,0.2,0.5199182839632278
319,50,10.0,0.3,4,0.3,0.5076608784473953
320,50,15.0,0.01,1,0.0,0.5219611848825332
321,50,15.0,0.01,1,0.1,0.5178753830439223
322,50,15.0,0.01,1,0.2,0.5229826353421859
323,50,15.0,0.01,1,0.3,0.5127681307456589
324,50,15.0,0.01,2,0.0,0.5127681307456589
325,50,15.0,0.01,2,0.1,0.5148110316649642
326,50,15.0,0.01,2,0.2,0.5097037793667007
327,50,15.0,0.01,2,0.3,0.5137895812053116
328,50,15.0,0.01,3,0.0,0.49540347293156284
329,50,15.0,0.01,3,0.1,0.4933605720122574
330,50,15.0,0.01,3,0.2,0.49846782431052095
331,50,15.0,0.01,3,0.3,0.5005107252298263
332,50,15.0,0.01,4,0.0,0.5168539325842697
333,50,15.0,0.01,4,0.1,0.5097037793667007
334,50,15.0,0.01,4,0.2,0.5076608784473953
335,50,15.0,0.01,4,0.3,0.5148110316649642
336,50,15.0,0.1,1,0.0,0.5076608784473953
337,50,15.0,0.1,1,0.1,0.5199182839632278
338,50,15.0,0.1,1,0.2,0.5250255362614913
339,50,15.0,0.1,1,0.3,0.5188968335035751
340,50,15.0,0.1,2,0.0,0.5229826353421859
341,50,15.0,0.1,2,0.1,0.49948927477017363
342,50,15.0,0.1,2,0.2,0.5005107252298263
343,50,15.0,0.1,2,0.3,0.5219611848825332
344,50,15.0,0.1,3,0.0,0.4964249233912155
345,50,15.0,0.1,3,0.1,0.5076608784473953
346,50,15.0,0.1,3,0.2,0.4964249233912155
347,50,15.0,0.1,3,0.3,0.501532175689479
